language,id,text,file,node,lineNumber,lock,comment
en,line:tutorial-tom-01,Tom: Uh.. hello?,Intro.yarn,Start,18,7ae86f0e,
en,line:tutorial-tom-02,Tom: Is anyone there?,Intro.yarn,Start,19,e89e6ab3,
en,line:tutorial-anne-01,Anne: Hi there!,Intro.yarn,Start,20,344e2fcf,
en,line:tutorial-tom-03,Tom: Who are you?,Intro.yarn,Start,27,5fd22997,
en,line:tutorial-tom-04,Tom: And where are you?,Intro.yarn,Start,28,f95d2d76,
en,line:tutorial-anne-02,Anne: I'm Anne! I'm right here!,Intro.yarn,Start,29,5b7c994c,
en,line:tutorial-tom-05,Tom: Where am I?,Intro.yarn,Start,36,44a0660e,
en,line:tutorial-anne-03,Anne: You're floating in a featureless void!,Intro.yarn,Start,37,1472405e,
en,line:tutorial-tom-06,Tom: I can see that..,Intro.yarn,Start,38,0d13a781,
en,line:tutorial-tom-07,Tom: How did I get here?,Intro.yarn,Start,40,e6bb3989,
en,line:tutorial-anne-04,"Anne: Oh, a writer put you here. This is a test conversation for Yarn Spinner!",Intro.yarn,Start,41,7afdab31,
en,line:tutorial-tom-08,Tom: What's Yarn Spinner?,Intro.yarn,Start,42,eb186238,
en,line:tutorial-anne-05,Anne: Don't worry about it!,Intro.yarn,Start,43,ecf50366,
en,line:tutorial-tom-09,"Tom: This is weird, Anne.",Intro.yarn,Start,48,7445aed2,
en,line:tutorial-tom-10,Tom: This is really confusing.,Intro.yarn,Start,50,037e383d,
en,line:tutorial-anne-06,Anne: That's ok! This will all go away in a moment.,Intro.yarn,Start,53,0807fb50,
en,line:tutorial-tom-11,Tom: What?!,Intro.yarn,Start,54,86dfa212,
