language,id,text,file,node,lineNumber,lock,comment
en-AU,line:tutorial-tom-01,Tom: Uh… ¿Hola? ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,30,7ae86f0e,
en-AU,line:tutorial-tom-02,Tom: ¿Hay alguien ahí? ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,31,e89e6ab3,
en-AU,line:tutorial-anne-01,Anne: ¡Hola!,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,32,344e2fcf,
en-AU,line:tutorial-tom-03,Tom: ¿Quién eres? ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,39,5fd22997,
en-AU,line:tutorial-tom-04,Tom: ¿Y dónde estás? ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,40,f95d2d76,
en-AU,line:tutorial-anne-02,Anne: ¡Soy Anne! ¡Y estoy aquí! ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,41,5b7c994c,
en-AU,line:tutorial-tom-05,Tom: ¿Dónde estoy? ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,50,44a0660e,
en-AU,line:tutorial-anne-03,Anne: ¡Estás flotando en un espacio anodino! ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,51,1472405e,
en-AU,line:tutorial-tom-06,Tom: Eso veo… ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,52,0d13a781,
en-AU,line:tutorial-tom-07,Tom: ¿Cómo llegué aquí? ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,54,e6bb3989,
en-AU,line:tutorial-anne-04,"Anne: Oh, un escritor te puso ahí. ¡Esta es una conversación de prueba para Yarn Spinner! ",Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,55,7afdab31,
en-AU,line:tutorial-tom-08,Tom: ¿Qué es Yarn Spinner? ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,56,eb186238,
en-AU,line:tutorial-anne-05,Anne: ¡No te preocupes por eso! ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,57,ecf50366,
en-AU,line:tutorial-tom-09,"Tom: Esto es raro, Anne. ",Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,62,7445aed2,
en-AU,line:tutorial-tom-10,Tom: Es muy confuso. ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,64,037e383d,
en-AU,line:tutorial-anne-06,Anne: ¡No pasa nada! Todo esto desaparecerá en un momento. ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,67,0807fb50,
en-AU,line:tutorial-tom-11,Tom: ¡¿Qué?!,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,68,86dfa212,
