language,id,text,file,node,lineNumber,lock,comment
de,line:5837f2,Schiff: Hey Kumpel.  ,Ship,Ship,7,b709c42e,
de,line:ship09,Spieler: Hey Schiff. ,Ship,Ship,8,0f857079,
de,line:ship10,Spieler: Wie geht's dem Weltraum? ,Ship,Ship,9,a741d6b2,
de,line:ship11,Schiff: Oh man. ,Ship,Ship,10,778a5a83,
de,line:ship12,Schiff: Der ist RIESIG! ,Ship,Ship,12,88f3fb99,
de,line:ship13,Schiff: Hey! ,Ship,Ship,16,5a889e0a,
de,line:ship01,"Spieler: Sally hat mir gesagt, dass du mich sehen willst? ",Ship,Ship,21,be6b00c6,
de,line:ship03,Schiff: Aber wie! ,Ship,Ship,23,171196c4,
de,line:ship04,Schiff: Ich soll dir von ihr ausrichten: ,Ship,Ship,25,e1980146,
de,line:ship05,Schiff: Wenn du nochmal deine Schicht verlässt ohne die Konsole zurückzusetzen ...,Ship,Ship,26,b6808e22,
de,line:ship06,Schiff: Wird sie dich lebendig zerhackstückeln! ,Ship,Ship,28,c1c63254,
de,line:ship07,Spieler: Oh. ,Ship,Ship,31,727bb97b,
de,line:794945,"Spieler: Hey Sally. ",Sally,Sally,7,2bc75173,
de,line:2dc39b,"Sally: Uah! Hey. ",Sally,Sally,8,b85fb55f,
de,line:34de2f,"Sally: Du hast dich einfach so angeschlichen. ",Sally,Sally,9,35e4db4c,
de,line:dcc2bc,"Sally: Lass das. ",Sally,Sally,10,ac04c57a,
de,line:a8e70c,"Spieler: Hey. ",Sally,Sally,12,52e9bd6e,
de,line:305cde,"Sally: Hi. ",Sally,Sally,13,41aa2f03,
de,line:5d7a7c,Ist was während deiner Schicht passiert?,Sally,Sally,17,5a28d06b,
de,line:0a7e39,Entschuldigung wegen der Konsole.,Sally,Sally,21,6c4c5826,
de,line:0facf7,Mach's gut.,Sally,Sally,23,e241648d,
de,line:8c3f98,"Sally: Nicht wirklich.  ",Sally,Sally.Watch,31,c6bcc3d6,
de,line:24c418,"Sally: Der Nebel nebelt halt vor sich hin. ",Sally,Sally.Watch,32,d3a88d93,
de,line:df4eaf,"Sally: Ach, das Schiff wollte mit dir reden. Geh mal rüber.",Sally,Sally.Watch,33,5f2cc23a,
de,line:1fea6c,"Spieler: Schon geschehen! ",Sally,Sally.Watch,36,599299b9,
de,line:5df323,"Sally: Rede nochmal mit dem Schiff. ",Sally,Sally.Watch,37,fed05ceb,
de,line:60c282,"Sally: Mach's gut. ",Sally,Sally.Exit,46,29ecd7c6,
de,line:d7df49,"Sally: Ja. Mach das nicht nochmal. ",Sally,Sally.Sorry,54,0ce38920,
