language,id,text,file,node,lineNumber,lock,comment
en,line:5837f2,"Ship: Hey, friend.",Ship.yarn,Ship,7,b709c42e,
en,line:ship09,"Player: Hi, Ship.",Ship.yarn,Ship,8,0f857079,
en,line:ship10,Player: How's space?,Ship.yarn,Ship,9,a741d6b2,
en,line:ship11,"Ship: Oh, man.",Ship.yarn,Ship,10,778a5a83,
en,line:ship12,Ship: It's HUGE!,Ship.yarn,Ship,12,88f3fb99,
en,line:ship13,Ship: Hey!!,Ship.yarn,Ship,16,5a889e0a,
en,line:ship01,Player: Sally said you wanted to see me?,Ship.yarn,Ship,21,be6b00c6,
en,line:ship03,Ship: She totally did!!,Ship.yarn,Ship,23,171196c4,
en,line:ship04,Ship: She wanted me to tell you...,Ship.yarn,Ship,25,e1980146,
en,line:ship05,Ship: If you ever go off-watch without resetting the console again...,Ship.yarn,Ship,26,b6808e22,
en,line:ship06,Ship: She'll flay you alive!,Ship.yarn,Ship,28,c1c63254,
en,line:ship07,Player: Uh.,Ship.yarn,Ship,31,727bb97b,
en,line:794945,"Player: Hey, Sally.",Sally.yarn,Sally,7,2bc75173,
en,line:2dc39b,Sally: Uah!,Sally.yarn,Sally,8,b85fb55f,
en,line:34de2f,Sally: You snuck up on me.,Sally.yarn,Sally,9,35e4db4c,
en,line:dcc2bc,Sally: Don't do that.,Sally.yarn,Sally,10,ac04c57a,
en,line:a8e70c,Player: Hey.,Sally.yarn,Sally,12,52e9bd6e,
en,line:305cde,Sally: Hi.,Sally.yarn,Sally,13,41aa2f03,
en,line:5d7a7c,Anything exciting happen on your watch?,Sally.yarn,Sally,17,5a28d06b,
en,line:0a7e39,Sorry about the console.,Sally.yarn,Sally,19,6c4c5826,
en,line:0facf7,See you later.,Sally.yarn,Sally,21,e241648d,
en,line:8c3f98,Sally: Not really.,Sally.yarn,Sally_Watch,30,c6bcc3d6,
en,line:24c418,"Sally: Same old nebula, doing the same old thing.",Sally.yarn,Sally_Watch,31,d3a88d93,
en,line:df4eaf,"Sally: Oh, Ship wanted to see you. Go say hi to it.",Sally.yarn,Sally_Watch,32,5f2cc23a,
en,line:1fea6c,Player: Already done!,Sally.yarn,Sally_Watch,35,599299b9,
en,line:5df323,Sally: Go say hi again.,Sally.yarn,Sally_Watch,36,fed05ceb,
en,line:60c282,Sally: Bye.,Sally.yarn,Sally_Exit,45,29ecd7c6,
en,line:d7df49,Sally: Yeah. Don't do it again.,Sally.yarn,Sally_Sorry,53,0ce38920,
