language,id,text,file,node,lineNumber,lock,comment
en,line:tutorial-tom-01,Tom: Ah. Hallo?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,43,7ae86f0e,
en,line:tutorial-tom-02,Tom: Ist da jemand?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,46,e89e6ab3,
en,line:tutorial-anne-01,Anne: Hallo!,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,49,344e2fcf,
en,line:tutorial-tom-03,Tom: Wer bist Du?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,58,5fd22997,
en,line:tutorial-tom-04,Tom: Und Wo bist Du?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,60,f95d2d76,
en,line:tutorial-anne-02,Anne: Ich bin Anne! Ich bin hier!,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,62,5b7c994c,
en,line:tutorial-tom-05,Tom: Wo bin ich denn?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,70,44a0660e,
en,line:tutorial-anne-03,Anne: Du treibst in einer gähnenden Leere!,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,72,1472405e,
en,line:tutorial-tom-06,Tom: Das sehe ich..,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,74,0d13a781,
en,line:tutorial-tom-07,Tom: Wie kam ich hierher?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,78,e6bb3989,
en,line:tutorial-anne-04,"Anne: Oh, ein Autor hat dich hergebracht. Die ist ein Test Gespräch für Yarn Spinner!",/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,79,7afdab31,
en,line:tutorial-tom-08,Tom: Was ist Yarn Spinner?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,82,eb186238,
en,line:tutorial-anne-05,Anne: Kein Grund zur Sorge!,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,85,ecf50366,
en,line:tutorial-tom-09,"Tom: Das ist so seltsam, Anne.",/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,92,7445aed2,
en,line:tutorial-tom-10,Tom: Das ist wirklich verwirrend.,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,94,037e383d,
en,line:tutorial-anne-06,Anne: Alles gut! Dies alles verschwindet in Kürze.,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,97,0807fb50,
en,line:tutorial-tom-11,Tom: Wie? Was?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,100,86dfa212,
