language,id,text,file,node,lineNumber,lock,comment
es,line:tutorial-tom-01,Tom: 呃……有人吗？ ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,30,7ae86f0e,
es,line:tutorial-tom-02,Tom: 有人在吗？ ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,31,e89e6ab3,
es,line:tutorial-anne-01,Anne: 嗨，你好！,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,32,344e2fcf,
es,line:tutorial-tom-03,Tom: 你是谁？ ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,39,5fd22997,
es,line:tutorial-tom-04,Tom: 你在哪呢？ ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,40,f95d2d76,
es,line:tutorial-anne-02,"Anne: 我是Anne！我就在这！" ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,41,5b7c994c,
es,line:tutorial-tom-05,Tom: 这是哪里？,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,50,44a0660e,
es,line:tutorial-anne-03,Anne: 你正漂浮在浩瀚的虚空中！,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,51,1472405e,
es,line:tutorial-tom-06,Tom: 我感觉也是……,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,52,0d13a781,
es,line:tutorial-tom-07,Tom: 我为什么在这？ ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,54,e6bb3989,
es,line:tutorial-anne-04,"Anne: 哦，是一名作家把你放在这的。这是为 Yarn Spinner 准备的测试对话！ ",Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,55,7afdab31,
es,line:tutorial-tom-08,Tom: Yarn Spinner 是谁？ ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,56,eb186238,
es,line:tutorial-anne-05,Anne: 别管那个了！ ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,57,ecf50366,
es,line:tutorial-tom-09,"Tom: 这里好奇怪，Anne。",Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,62,7445aed2,
es,line:tutorial-tom-10,Tom: 我实在是一头雾水。 ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,64,037e383d,
es,line:tutorial-anne-06,Anne: 没关系！这一切很快就会结束的。 ,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,67,0807fb50,
es,line:tutorial-tom-11,Tom: 什么结束？！,Packages/dev.yarnspinner.unity/Samples/Intro/Dialogue/Intro.yarn,Start,68,86dfa212,
